documentation:README.md	README.md	["25","26","27","66","67","9"]	current	rewrite_current_authority
documentation:docs/design/ENGINEERING_ISSUE_REGISTER.md	docs/design/ENGINEERING_ISSUE_REGISTER.md	["163","164"]	current	rewrite_current_authority
documentation:docs/design/INVESTMENT_SKILLS_PROFILE_DESIGN.md	docs/design/INVESTMENT_SKILLS_PROFILE_DESIGN.md	["598","599"]	current	rewrite_current_authority
documentation:docs/design/IV_PROVIDER_PROOF_PACKET_PLAN.md	docs/design/IV_PROVIDER_PROOF_PACKET_PLAN.md	["365","40","7"]	current	rewrite_current_authority
documentation:docs/design/LOCAL_FIRST_RESEARCH_WORKBENCH_AUDIT.md	docs/design/LOCAL_FIRST_RESEARCH_WORKBENCH_AUDIT.md	["101","248","250","253","263","269","273","335","347","385","489","490"]	historical	retire_pg_only
documentation:docs/design/LOCAL_FIRST_RESEARCH_WORKBENCH_SPEC.md	docs/design/LOCAL_FIRST_RESEARCH_WORKBENCH_SPEC.md	["15","17","203","213","217","218","223","248","264","31","358","36","360","362","363","364","366","404","49","51","53","54","55","672","675","766","767","768","786","796","813","846","866"]	current	rewrite_current_authority
documentation:docs/design/LOCAL_STORAGE_TOPOLOGY.md	docs/design/LOCAL_STORAGE_TOPOLOGY.md	["111","145","147","150","154"]	current	rewrite_current_authority
documentation:docs/design/MACRO_FRED_PRODUCT_SEMANTICS.md	docs/design/MACRO_FRED_PRODUCT_SEMANTICS.md	["27","34","46","5","75","84","85"]	current	rewrite_current_authority
documentation:docs/design/NEWS_DIRECT_LOCAL_PLAN.md	docs/design/NEWS_DIRECT_LOCAL_PLAN.md	["1","111","127","128","15","152","16","199","206","22","23","283","284","286","287","288","291","296","34","358","359","361","365","368","369","370","374","375","376","38","383","395","405","43","47","51","75","76","85","91","92","93"]	historical	retire_pg_only
documentation:docs/design/P1_2_PROVIDER_DISCOVERY.md	docs/design/P1_2_PROVIDER_DISCOVERY.md	["301"]	historical	retire_pg_only
documentation:docs/design/P1_2_SPEC.md	docs/design/P1_2_SPEC.md	["235"]	historical	retire_pg_only
documentation:docs/design/P1_3_SPEC.md	docs/design/P1_3_SPEC.md	["304","55"]	historical	retire_pg_only
documentation:docs/design/P1_5_S3_OSS_SPIKE_DECISION.md	docs/design/P1_5_S3_OSS_SPIKE_DECISION.md	["112","35","36","92"]	current	rewrite_current_authority
documentation:docs/design/PG_EXIT_COMPLETION_PLAN.md	docs/design/PG_EXIT_COMPLETION_PLAN.md	["1","10","101","103","104","105","107","109","111","116","117","126","127","128","132","133","134","137","139","142","144","145","146","147","148","149","150","152","170","20","22","26","31","32","33","36","38","40","41","47","48","49","50","54","57","6","62","64","65","66","69","7","70","77","78","8","82","84","86","88","9","94","96","97","98"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_N9_BATCH1_DROP_PLAN.md	docs/design/PG_EXIT_N9_BATCH1_DROP_PLAN.md	["1","100","101","1010","1018","1019","102","1026","1027","1037","1039","104","1048","1052","106","1086","1099","11","110","1121","1143","1151","1152","1159","1161","1170","1198","1199","1210","1216","1239","1242","1247","1279","1283","1286","1296","1305","1331","1341","1344","1358","1364","1378","1382","1385","1388","1394","1396","1410","1411","1412","1414","1418","1426","1427","1429","1430","1431","1436","1437","1447","167","17","174","186","19","201","213","223","228","235","237","241","245","256","270","277","282","284","288","290","297","309","313","322","328","333","336","338","344","347","352","355","357","363","371","374","388","392","394","402","403","408","409","414","442","449","454","458","461","462","463","467","470","472","473","481","5","514","527","531","546","553","566","57","582","593","601","602","609","610","618","622","625","64","640","664","671","69","699","7","702","709","71","72","723","728","73","736","74","749","754","79","792","80","804","805","809","83","830","834","835","836","837","838","839","847","848","866","874","882","883","89","892","893","895","896","90","902","91","916","923","929","930","932","935","938","945","95","956","96","960","97","98","981","982","983","991"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_N9_BATCH2_CLEANUP_PLAN.md	docs/design/PG_EXIT_N9_BATCH2_CLEANUP_PLAN.md	["11","114","118","122","132","137","141","142","147","152","156","160","161","163","166","188","19","192","20","21","218","220","23","237","248","255","273","286","287","29","294","30","31","32","323","329","33","331","333","34","343","360","373","38","39","41","448","45","453","456","46","461","463","468","47","472","474","477","48","484","488","491","492","493","496","5","519","520","522","527","56","62","64","65","67","68","7","78","79","80","82","85","88","89","9","92"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_N9_BATCH3_PRICES_DROP_PLAN.md	docs/design/PG_EXIT_N9_BATCH3_PRICES_DROP_PLAN.md	["1","10","106","113","119","120","121","123","128","13","14","146","153","156","16","160","164","165","169","170","176","179","18","181","184","186","187","194","20","207","22","221","238","24","241","245","249","253","257","273","274","282","283","32","322","33","330","34","340","343","346","349","35","361","362","43","44","45","451","452","454","455","456","458","459","462","463","47","48","49","5","511","519","521","522","533","547","548","549","55","554","56","570","574","578","580","581","583","584","591","597","62","621","623","630","641","646","66","662","68","681","69","709","71","729","732","734","735","737","738","745","75","753","760","77","770","771","773","784","786","790","791","792","793","794","798","799","801","807","809","810","9","92","94","95","97"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_P0C1_PRICES_RUNTIME_HARDENING_PLAN.md	docs/design/PG_EXIT_P0C1_PRICES_RUNTIME_HARDENING_PLAN.md	["25","331","342","37","437","57","61","793","831","832","897","934","98"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_P0C_PRICES_RECONCILE_CUTOVER_PLAN.md	docs/design/PG_EXIT_P0C_PRICES_RECONCILE_CUTOVER_PLAN.md	["100","101","1015","102","1026","1027","103","106","1064","1072","1074","1081","1082","1087","1089","11","110","1102","1105","1109","111","1110","1126","1133","114","1141","1181","1193","1201","1257","126","1288","1297","1298","130","1300","136","1367","1368","1398","140","1403","1404","1406","141","1414","142","1421","1429","1430","1438","144","1441","1442","1443","1448","1455","1457","1458","1460","1469","1477","1480","1486","1489","1491","1507","151","1524","1526","1528","162","164","167","168","182","187","20","206","228","229","236","241","242","244","246","251","252","254","256","26","264","269","277","278","295","30","305","306","356","357","372","377","379","390","404","408","414","418","420","426","427","428","471","480","499","508","509","568","569","571","598","599","65","67","685","687","692","695","696","697","7","70","701","703","704","706","707","708","710","711","715","716","737","744","777","79","80","81","824","829","84","842","844","845","847","852","858","867","884","895","897","9","904","910","918","939","947","958","960","997"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_PG_UNREACHABLE_E2E_PLAN.md	docs/design/PG_EXIT_PG_UNREACHABLE_E2E_PLAN.md	["1","100","101","11","111","113","114","116","117","125","126","130","131","132","145","149","153","154","158","159","162","163","18","196","200","201","208","211","214","215","217","218","219","22","221","227","234","249","273","280","287","292","299","313","321","409","416","417","419","420","421","422","429","43","430","438","44","45","47","472","473","481","482","491","495","499","5","502","503","508","511","513","529","53","54","546","549","55","550","554","555","56","563","57","571","572","577","588","596","600","601","605","606","616","619","621","629","63","639","64","640","65","653","654","659","660","662","663","664","665","669","674","675","685","686","688","697","699","7","701","706","71","713","714","715","74","82","83","9","96","98"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_REMAINDER_SCOPING.md	docs/design/PG_EXIT_REMAINDER_SCOPING.md	["1","101","106","119","124","125","147","152","153","155","156","157","162","166","168","172","173","175","176","177","185","19","194","196","221","223","240","257","258","259","26","260","262","263","264","265","269","280","283","420","421","464","48","5","50","52","54","55","56","57","577","58","584","585","587","589","59","592","593","6","60","61","62","63","86"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_S_H1_JOB_RUNS_LOCAL_PLAN.md	docs/design/PG_EXIT_S_H1_JOB_RUNS_LOCAL_PLAN.md	["1","105","11","118","119","123","127","129","130","17","183","185","190","199","210","217","219","225","253","259","261","285","288","31","39","41","5","55","57","7","97","99"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_S_H2_FINANCIAL_CACHE_COLD_START_PLAN.md	docs/design/PG_EXIT_S_H2_FINANCIAL_CACHE_COLD_START_PLAN.md	["1","103","106","108","110","112","113","114","116","12","120","130","133","137","140","161","17","171","176","187","188","19","20","214","216","225","226","228","23","234","236","241","248","309","314","32","321","324","327","329","332","338","339","34","345","359","360","361","364","369","37","374","375","383","384","390","412","415","45","46","48","58","59","60","64","75","79","80","83","85","88","9"]	historical	retire_pg_only
documentation:docs/design/PG_EXIT_S_H_ORPHAN_APP_STATE_AUDIT.md	docs/design/PG_EXIT_S_H_ORPHAN_APP_STATE_AUDIT.md	["1","10","12","20","21","29","33","34","39","41","42","44","45","46","52","54","55","56","6","65","66","68","69","74","77","8","80","83","88","89","90"]	historical	retire_pg_only
documentation:docs/design/README.md	docs/design/README.md	["51","64"]	current	rewrite_current_authority
documentation:docs/design/REFACTOR_PROTECTION_SMOKE_GATES.md	docs/design/REFACTOR_PROTECTION_SMOKE_GATES.md	["17","62","63"]	current	rewrite_current_authority
documentation:docs/design/REPO_HYGIENE_AUDIT_2026_07.md	docs/design/REPO_HYGIENE_AUDIT_2026_07.md	["125","136","168","26","59","60","61","64","67"]	historical	retire_pg_only
documentation:docs/design/RL_COLLAPSE_FINDINGS.md	docs/design/RL_COLLAPSE_FINDINGS.md	["183"]	historical	retire_pg_only
documentation:docs/design/SA_ALPHA_PICKS_CONTENT_CAPTURE.md	docs/design/SA_ALPHA_PICKS_CONTENT_CAPTURE.md	["22"]	current	rewrite_current_authority
documentation:docs/design/SA_CUTOVER_3D_RUNBOOK.md	docs/design/SA_CUTOVER_3D_RUNBOOK.md	["1","108","113","114","13","136","143","147","15","153","160","162","163","164","166","168","17","175","176","18","19","29","3","30","31","32","35","38","44","45","46","47","48","49","55","56","57","58","59","60","66","69","7","78","79","80","81","82","90"]	historical	retire_pg_only
documentation:docs/design/SA_EVIDENCE_FEED_C1_SPEC.md	docs/design/SA_EVIDENCE_FEED_C1_SPEC.md	["13","59"]	current	rewrite_current_authority
documentation:docs/design/SA_EXTENSION_HEALTH_SETUP_BOUNDARY.md	docs/design/SA_EXTENSION_HEALTH_SETUP_BOUNDARY.md	["34"]	current	rewrite_current_authority
documentation:docs/design/SCHEDULER_HARDENING_PLAN.md	docs/design/SCHEDULER_HARDENING_PLAN.md	["107","138","139","159","28","29","30","34","35","37","48","53","56","76","77"]	current	rewrite_current_authority
documentation:docs/design/SCRIPTS_TRANCHE_B_CONSUMER_INVENTORY.md	docs/design/SCRIPTS_TRANCHE_B_CONSUMER_INVENTORY.md	["220","96","98"]	historical	retire_pg_only
documentation:docs/design/archive/README.md	docs/design/archive/README.md	["19"]	archive_instruction	retire_pg_only
documentation:docs/history/SCRIPTS_RETIREMENT_TRANCHE_A.md	docs/history/SCRIPTS_RETIREMENT_TRANCHE_A.md	["20","21","22","23","25","26","27"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-25-calibration-anthropic-refusal.md	docs/superpowers/evidence/2026-07-25-calibration-anthropic-refusal.md	["120","146"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-25-sa-extension-reliability-control-clarity.md	docs/superpowers/evidence/2026-07-25-sa-extension-reliability-control-clarity.md	["203","204","281","435","436"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-26-coverage-v2-session-truth.md	docs/superpowers/evidence/2026-07-26-coverage-v2-session-truth.md	["148","163","241","242","286","311","312","353","483","534","93"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-26-legacy-scheduler-iv-domain-retirement.md	docs/superpowers/evidence/2026-07-26-legacy-scheduler-iv-domain-retirement.md	["141","215","216","287","301","382","483","520","548","560","565","64","83","9"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-27-sa-feed-store-truth.md	docs/superpowers/evidence/2026-07-27-sa-feed-store-truth.md	["19","23","280","281","333","362","376","390","44"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-28-price-collection-partial-truth.md	docs/superpowers/evidence/2026-07-28-price-collection-partial-truth.md	["109","111","118","123","357","554","555"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-07-31-eir-002-green-backend-baseline.md	docs/superpowers/evidence/2026-07-31-eir-002-green-backend-baseline.md	["457","463","491","505","53"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-08-01-scripts-retirement-tranche-a.md	docs/superpowers/evidence/2026-08-01-scripts-retirement-tranche-a.md	["306","377","381","520"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-08-03-eir-006-valuation-price-truth.md	docs/superpowers/evidence/2026-08-03-eir-006-valuation-price-truth.md	["436","447","509","596","809"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/consumer-census.tsv	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/consumer-census.tsv	["15","16","17","18","19","67","68","90","91","92","93","94"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-08-08-scripts-tranche-b-legacy-score-retirement.md	docs/superpowers/evidence/2026-08-08-scripts-tranche-b-legacy-score-retirement.md	["195","196","411","435","459","570","84"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-08-09-settings-navigation-warm-cache.md	docs/superpowers/evidence/2026-08-09-settings-navigation-warm-cache.md	["303","316","339"]	historical	retire_pg_only
documentation:docs/superpowers/evidence/2026-08-13-macro-refresh-scheduler.md	docs/superpowers/evidence/2026-08-13-macro-refresh-scheduler.md	["157","262","291","352","381","384"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-06-27-news-direct-cutover.md	docs/superpowers/plans/2026-06-27-news-direct-cutover.md	["66","68","7","72"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-06-27-news-identity-repair.md	docs/superpowers/plans/2026-06-27-news-identity-repair.md	["540","575","7"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-06-28-news-normalization-offline-foundation.md	docs/superpowers/plans/2026-06-28-news-normalization-offline-foundation.md	["1128","1316","1376","22"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-06-29-news-normalization-n7-migration.md	docs/superpowers/plans/2026-06-29-news-normalization-n7-migration.md	["1034","1220","25","877","9"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-06-30-news-n8a-pg-exit.md	docs/superpowers/plans/2026-06-30-news-n8a-pg-exit.md	["1","302","32","37","377","38","40","405","421","43","457","466","471","473","476","478","479","483","489","491","499","502","503","508","511","513","514","535","549","550","551","559","578","59","604","614","629","630","649","658","667","685","689","7","737","739","740","746","751","84","9"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-01-s-a1-ibkr-worker-module.md	docs/superpowers/plans/2026-07-01-s-a1-ibkr-worker-module.md	["19","291","330","437","471","491","495","506","516","537"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-02-s-b-fundamentals-refetch-cache.md	docs/superpowers/plans/2026-07-02-s-b-fundamentals-refetch-cache.md	["1045","1050","1071","1073","1074","1076","11","112","131","17","183","209","269","274","292","294","295","30","315","33","380","384","39","41","42","44","456","459","463","467","488","49","51","510","513","521","526","537","57","585","622","636","680","7","707","726","752","773","803","820","832","842","866","873","874","882","893","9","900","931","934","94","940","946","952","97","972","975","98","982","983"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-02-s-j-provider-config-authority-phase-0-1.md	docs/superpowers/plans/2026-07-02-s-j-provider-config-authority-phase-0-1.md	["110","129","1581","1586","1650","1673","24","38","63","89","9"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-03-s-g-scorer-cutover.md	docs/superpowers/plans/2026-07-03-s-g-scorer-cutover.md	["112","114","116","120","127","132","135","17","18","19","21","228","246","253","260","264","313","35","39","404","41","414","427","43","453","457","460","485","518","524","529","530","531","534","551","556","592","603","604","616","62","625","657","664","79","9","93"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-04-data-sources-post-pg-exit-ui-cleanup.md	docs/superpowers/plans/2026-07-04-data-sources-post-pg-exit-ui-cleanup.md	["1","119","129","134","137","156","165","17","19","22","23","354","38","412","49","5","60","648","65","655","664","665","667","672","674","685","687","695","7","705","709","729","742","743","771","779","780","805","81","810","815","820","828","83","851","91"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-05-macro-snapshot-display.md	docs/superpowers/plans/2026-07-05-macro-snapshot-display.md	["353","48","531","534","535","568","569","572","7","718","726","732","76","760","761","780","795","805","806","93"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-05-news-burst-hardening.md	docs/superpowers/plans/2026-07-05-news-burst-hardening.md	["1084","1127","1138","1157","1160","1183","1186","1195","15","16","62"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-05-s-j-provider-config-strict-flip.md	docs/superpowers/plans/2026-07-05-s-j-provider-config-strict-flip.md	["1429","1440","1465","1493","1502","1545","23","38","5"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-05-sa-local-default-collapse.md	docs/superpowers/plans/2026-07-05-sa-local-default-collapse.md	["108","109","11","13","141","148","156","164","196","203","204","209","21","210","219","223","227","23","230","237","24","240","252","261","265","269","276","28","312","320","327","328","331","333","334","335","342","35","36","37","39","392","395","40","424","448","45","451","456","459","469","475","482","488","489","490","491","494","501","7","71"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-06-dead-code-ui-sweep.md	docs/superpowers/plans/2026-07-06-dead-code-ui-sweep.md	["100","103","104","11","132","144","147","150","152","16","163","166","170","176","178","179","180","181","186","188","196","20","204","205","226","235","236","245","263","27","28","284","323","332","36","37","38","39","41","486","487","489","500","53","541","62","64","66","67","7","76","80","82","87","9","92","95","99"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-06-ibkr-news-long-catchup-audit.md	docs/superpowers/plans/2026-07-06-ibkr-news-long-catchup-audit.md	["41","91"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-06-investor-profile-track-a.md	docs/superpowers/plans/2026-07-06-investor-profile-track-a.md	["15","16","865","868"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-06-repo-hygiene-b4-b5.md	docs/superpowers/plans/2026-07-06-repo-hygiene-b4-b5.md	["11","123","138","33","34","36","44","5","6","65","71","72","74","77","86","88","89","95"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-06-sa-extension-telemetry-health.md	docs/superpowers/plans/2026-07-06-sa-extension-telemetry-health.md	["10","104","131","270","43"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-06-scripts-runtime-consolidation.md	docs/superpowers/plans/2026-07-06-scripts-runtime-consolidation.md	["115","119","134","16","168","23","43","60","83","84","86","92","96"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-07-current-quote-tool.md	docs/superpowers/plans/2026-07-07-current-quote-tool.md	["876","881","884","928"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-08-holdings-portfolio-v1.md	docs/superpowers/plans/2026-07-08-holdings-portfolio-v1.md	["1012","1027","1028","1048","1049","1079","1080","1084","150","151","163","164","51"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-08-investor-profile-calibration-chat.md	docs/superpowers/plans/2026-07-08-investor-profile-calibration-chat.md	["1523","1528","1531","4"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-10-holdings-row-actions.md	docs/superpowers/plans/2026-07-10-holdings-row-actions.md	["157","158","483","486","489"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-10-model-capability-catalog.md	docs/superpowers/plans/2026-07-10-model-capability-catalog.md	["1343","1346","308","38","39"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-11-models-ux-implementation.md	docs/superpowers/plans/2026-07-11-models-ux-implementation.md	["18","46","464","47","533","534"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-11-s3-credential-lifecycle-hotfix.md	docs/superpowers/plans/2026-07-11-s3-credential-lifecycle-hotfix.md	["114","504","508","98"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-12-fixed-ai-task-runtime-limits.md	docs/superpowers/plans/2026-07-12-fixed-ai-task-runtime-limits.md	["1011","1017","1020","19","20"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-12-p2-8-settings-stabilization.md	docs/superpowers/plans/2026-07-12-p2-8-settings-stabilization.md	["101","1130","1143","1146","1153","1161","1195","1211","1292","1293","1326","1377","1385","1409","1418","1494","151","1532","1544","1567","1663","1719","1722","1725","1813","221","58"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-12-p2-8-slice-1-ui-primitives.md	docs/superpowers/plans/2026-07-12-p2-8-slice-1-ui-primitives.md	["2242","2247","2250","41","42","68"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-12-subscription-card-routing.md	docs/superpowers/plans/2026-07-12-subscription-card-routing.md	["110","112","91"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-13-portfolio-1-1-slice-1-capture-foundation.md	docs/superpowers/plans/2026-07-13-portfolio-1-1-slice-1-capture-foundation.md	["1602","1623","1631","1635","170","1721","31","32","54","55"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-14-portfolio-1-1-slice-2-account-overview.md	docs/superpowers/plans/2026-07-14-portfolio-1-1-slice-2-account-overview.md	["150","1951","1965","1973","1976","2097","37","40"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-15-ibkr-news-durable-body-retry.md	docs/superpowers/plans/2026-07-15-ibkr-news-durable-body-retry.md	["1044","136","51","56","913","934","937","98","996"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-15-portfolio-1-1-slice-3-activity-journal.md	docs/superpowers/plans/2026-07-15-portfolio-1-1-slice-3-activity-journal.md	["114","131","1509","1522","1531","1534","1537","1540","1677","184","45","50","6"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-16-ibkr-news-entitlement-aware-retry.md	docs/superpowers/plans/2026-07-16-ibkr-news-entitlement-aware-retry.md	["24","34","584","69","7"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-17-ibkr-news-10172-retry-recalibration.md	docs/superpowers/plans/2026-07-17-ibkr-news-10172-retry-recalibration.md	["1061","117","123","177","178","30","891","941","945","949","950","987"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-17-news-content-availability-implementation.md	docs/superpowers/plans/2026-07-17-news-content-availability-implementation.md	["1056","178","179","192","344","349","357","359","401","403","43","45","645","648","650","651","660","668","669","670","699","701","709","710","712","713","722","724","855","862","864","866","869"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-18-alpha-picks-article-reconciliation-implementation.md	docs/superpowers/plans/2026-07-18-alpha-picks-article-reconciliation-implementation.md	["1163","1173","1208","1211","1220","1234","1269","1275","1277","1278","1282","1288","1291","1294","1298","1413","1422","1423","15","166","1912","2419","244","245","2522","2524","2525","264","2960","3121","318","3235","3237","3238","3366","3395","3396","925"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-18-p2-8-slice-3-research-workspace.md	docs/superpowers/plans/2026-07-18-p2-8-slice-3-research-workspace.md	["1364","1375","1376","228","276","281","282"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-19-db-derived-universe-tickers-core-retirement.md	docs/superpowers/plans/2026-07-19-db-derived-universe-tickers-core-retirement.md	["1202","1331","1335","1338","1339","1524","1535","1539","1783","1784","1841","1842"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-19-p2-8-slice-4-1-settings-navigation-correction.md	docs/superpowers/plans/2026-07-19-p2-8-slice-4-1-settings-navigation-correction.md	["1027","1038","1066","198","264","298","350","694","775","782","913","924","935","973"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-19-p2-8-slice-4-settings-workspace.md	docs/superpowers/plans/2026-07-19-p2-8-slice-4-settings-workspace.md	["192","340","676","775","791"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-20-i18n-0-foundation.md	docs/superpowers/plans/2026-07-20-i18n-0-foundation.md	["1074","1076","1188","64","67"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-20-i18n-1-shell-common-ui.md	docs/superpowers/plans/2026-07-20-i18n-1-shell-common-ui.md	["1390","1393","1399","1415","1489","1500","444"]	historical	retire_pg_only
documentation:docs/superpowers/plans/2026-07-20-i18n-2-settings.md	docs/superpowers/plans/2026-07-20-i18n-2-settings.md	["1000","1329","1443","1446","157","1715","1800","24","2615","2667","2759","2796","3019","3156","3159","3165","3184","3205","3297","3317","867","986","987","993","995","996","997"]	historical	retire_pg_only
