cli_registry:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/destructive_controller.py:1137:0:cli_entrypoint:python docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/destructive_controller.py	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/destructive_controller.py	python docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/destructive_controller.py	operator	-	-
cli_registry:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/task8_consumer_census.py:183:0:cli_entrypoint:python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.task8_consumer_census	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/task8_consumer_census.py	python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.task8_consumer_census	operator	-	-
cli_registry:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/task8_db_row_manifest.py:296:0:cli_entrypoint:python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.task8_db_row_manifest	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/task8_db_row_manifest.py	python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.task8_db_row_manifest	operator	-	-
cli_registry:docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/task8_price_manifest.py:661:0:cli_entrypoint:python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.task8_price_manifest	docs/superpowers/evidence/2026-08-04-eir-006-deletion-manifest/task8_price_manifest.py	python -m docs.superpowers.evidence.2026-08-04-eir-006-deletion-manifest.task8_price_manifest	operator	-	-
cli_registry:extensions/sa_alpha_picks/build_firefox.py:618:0:cli_entrypoint:python -m extensions.sa_alpha_picks.build_firefox	extensions/sa_alpha_picks/build_firefox.py	python -m extensions.sa_alpha_picks.build_firefox	operator	-	-
cli_registry:extensions/sa_alpha_picks/build_firefox.py:651:0:cli_entrypoint:extensions/sa_alpha_picks/build_firefox.py	extensions/sa_alpha_picks/build_firefox.py	extensions/sa_alpha_picks/build_firefox.py	operator	-	-
cli_registry:extensions/sa_alpha_picks/build_firefox.py:651:0:cli_entrypoint:python extensions/sa_alpha_picks/build_firefox.py	extensions/sa_alpha_picks/build_firefox.py	python extensions/sa_alpha_picks/build_firefox.py	operator	-	-
cli_registry:extensions/sa_alpha_picks/install.sh:-:-:cli_entrypoint:extensions/sa_alpha_picks/install.sh	extensions/sa_alpha_picks/install.sh	extensions/sa_alpha_picks/install.sh	mixed	cli:extensions/sa_alpha_picks/install.sh:extensions_sa_alpha_picks_install.sh	retain_operator_remove_pg_branch
cli_registry:extensions/sa_alpha_picks/install_firefox.sh:-:-:cli_entrypoint:extensions/sa_alpha_picks/install_firefox.sh	extensions/sa_alpha_picks/install_firefox.sh	extensions/sa_alpha_picks/install_firefox.sh	mixed	cli:extensions/sa_alpha_picks/install_firefox.sh:extensions_sa_alpha_picks_install_firefox.sh	retain_operator_remove_pg_branch
cli_registry:package.json:-:-:cli_entrypoint:npm:build	package.json	npm:build	operator	-	-
cli_registry:package.json:-:-:cli_entrypoint:npm:dev:desktop	package.json	npm:dev:desktop	operator	-	-
cli_registry:package.json:-:-:cli_entrypoint:npm:dev:web	package.json	npm:dev:web	operator	-	-
cli_registry:package.json:-:-:cli_entrypoint:npm:start	package.json	npm:start	operator	-	-
cli_registry:src/agents/cli.py:2506:0:cli_entrypoint:python -m src.agents.cli	src/agents/cli.py	python -m src.agents.cli	legacy-agent	cli:src/agents/cli.py:legacy-agent	defer_to_legacy_agent_cli_census
cli_registry:src/agents/openai_agent/agent.py:-:-:cli_entrypoint:python -m src.agents.openai_agent.agent	src/agents/openai_agent/agent.py	python -m src.agents.openai_agent.agent	legacy-agent	cli:src/agents/openai_agent/agent.py:legacy-agent	defer_to_legacy_agent_cli_census
cli_registry:src/api/__main__.py:15:0:cli_entrypoint:python -m src.api.__main__	src/api/__main__.py	python -m src.api.__main__	operator	-	-
cli_registry:src/audit/ibkr_news_catchup_audit.py:259:0:cli_entrypoint:python -m src.audit.ibkr_news_catchup_audit	src/audit/ibkr_news_catchup_audit.py	python -m src.audit.ibkr_news_catchup_audit	operator	-	-
cli_registry:src/audit/sa_article_reconciliation.py:11:0:cli_entrypoint:python -m src.audit.sa_article_reconciliation	src/audit/sa_article_reconciliation.py	python -m src.audit.sa_article_reconciliation	mixed	cli:src/audit/sa_article_reconciliation.py:argparse.ArgumentParser	retain_operator_remove_pg_branch
cli_registry:src/audit/universe_retirement.py:1000:0:cli_entrypoint:python -m src.audit.universe_retirement	src/audit/universe_retirement.py	python -m src.audit.universe_retirement	mixed	cli:src/audit/universe_retirement.py:argparse.ArgumentParser	retain_operator_remove_pg_branch
cli_registry:src/collectors/finnhub_news.py:684:0:cli_entrypoint:python -m src.collectors.finnhub_news	src/collectors/finnhub_news.py	python -m src.collectors.finnhub_news	operator	-	-
cli_registry:src/collectors/polygon_news.py:1104:0:cli_entrypoint:python -m src.collectors.polygon_news	src/collectors/polygon_news.py	python -m src.collectors.polygon_news	operator	-	-
cli_registry:src/daily_update.py:379:0:cli_entrypoint:python -m src.daily_update	src/daily_update.py	python -m src.daily_update	mixed	cli:src/daily_update.py:argparse.ArgumentParser	retain_operator_remove_pg_branch
cli_registry:src/news_normalized/ibkr_cli.py:380:0:cli_entrypoint:python -m src.news_normalized.ibkr_cli	src/news_normalized/ibkr_cli.py	python -m src.news_normalized.ibkr_cli	operator	-	-
cli_registry:src/options_math/option_pricing.py:1335:0:cli_entrypoint:python -m src.options_math.option_pricing	src/options_math/option_pricing.py	python -m src.options_math.option_pricing	operator	-	-
cli_registry:src/prices_runtime.py:153:0:cli_entrypoint:python -m src.prices_runtime	src/prices_runtime.py	python -m src.prices_runtime	operator	-	-
cli_registry:src/sa_native_host.py:1290:0:cli_entrypoint:python -m src.sa_native_host	src/sa_native_host.py	python -m src.sa_native_host	mixed	cli:src/sa_native_host.py:main	retain_operator_remove_pg_branch
cli_registry:src/sa_native_host.py:1290:0:cli_entrypoint:python src/sa_native_host.py	src/sa_native_host.py	python src/sa_native_host.py	mixed	cli:src/sa_native_host.py:main	retain_operator_remove_pg_branch
cli_registry:src/smoke/pg_unreachable_e2e.py:616:0:cli_entrypoint:python -m src.smoke.pg_unreachable_e2e	src/smoke/pg_unreachable_e2e.py	python -m src.smoke.pg_unreachable_e2e	PG-only	cli:src/smoke/pg_unreachable_e2e.py:argparse.ArgumentParser	retire_pg_only
cli_registry:src/smoke/pg_unreachable_e2e.py:634:0:cli_entrypoint:python src/smoke/pg_unreachable_e2e.py	src/smoke/pg_unreachable_e2e.py	python src/smoke/pg_unreachable_e2e.py	PG-only	cli:src/smoke/pg_unreachable_e2e.py:argparse.ArgumentParser	retire_pg_only
cli_registry:tests/live/sdk_driver_smoke.py:-:-:cli_entrypoint:python tests/live/sdk_driver_smoke.py	tests/live/sdk_driver_smoke.py	python tests/live/sdk_driver_smoke.py	operator	-	-
cli_registry:tests/live/sdk_route_smoke.py:-:-:cli_entrypoint:python tests/live/sdk_route_smoke.py	tests/live/sdk_route_smoke.py	python tests/live/sdk_route_smoke.py	operator	-	-
cli_registry:tests/live/smoke_fred.py:149:0:cli_entrypoint:python -m tests.live.smoke_fred	tests/live/smoke_fred.py	python -m tests.live.smoke_fred	mixed	cli:tests/live/smoke_fred.py:main	retain_operator_remove_pg_branch
cli_registry:tests/live/smoke_fred.py:149:0:cli_entrypoint:python tests/live/smoke_fred.py	tests/live/smoke_fred.py	python tests/live/smoke_fred.py	mixed	cli:tests/live/smoke_fred.py:main	retain_operator_remove_pg_branch
cli_registry:tests/test_ibkr_scanner.py:296:0:cli_entrypoint:python -m tests.test_ibkr_scanner	tests/test_ibkr_scanner.py	python -m tests.test_ibkr_scanner	operator	-	-
cli_registry:tests/test_option_pricing.py:696:0:cli_entrypoint:python -m tests.test_option_pricing	tests/test_option_pricing.py	python -m tests.test_option_pricing	operator	-	-
