task	node_id	reason	red_expectation
T1	tests/test_sec_corporate_actions.py::test_form25_records_the_class_verbatim_from_every_served_shape[<html><body>FORM 25 NOTIFICATION OF REMOVAL FROM LISTING AND/OR REGISTRATION UNDER SECTION 12(b) OF THE SECURITIES EXCHANGE ACT OF 1934. Commission File Number 001-33977 Issuer: VISA INC. Exchange: NEW YORK STOCK EXCHANGE LLC (Exact name of Issuer as specified in its charter, and name of Exchange where security is listed and/or registered) Address: PO Box 8999 San Francisco CALIFORNIA 94128 Telephone number: (650) 432-3200 (Address, including zip code, and telephone number, including area code, of Issuer's principal executive offices) 1.500% Senior Notes due 2026 (Description of class of securities) Please place an X in the box to designate the rule provision relied upon to strike the class of securities from listing and registration:</body></html>-1.500% Senior Notes due 2026]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_records_the_class_verbatim_from_every_served_shape[<html><body>UNITED STATES SECURITIES AND EXCHANGE COMMISSION Washington, D.C. 20549 _______________ FORM 25 NOTIFICATION OF REMOVAL FROM LISTING AND/OR REGISTRATION UNDER SECTION 12(b) OF THE SECURITIES EXCHANGE ACT OF 1934 _______________ Commission File Number 001-41468 D-Wave Quantum Inc. New York Stock Exchange (Exact name of Issuer as specified in its charter, and name of Exchange where security is listed and/or registered) _______________ 2650 East Bayshore Road Palo Alto, California 94303 (650) 285-2881 (Address, including zip code, and telephone number, including area code, of Issuer\u2019s principal executive offices) _______________ Common stock, par value $0.0001 per share (Description of class of securities) _______________ Please place an X in the box to designate the rule provision relied upon to strike the class of securities from listing and registration:</body></html>-Common stock, par value $0.0001 per share]	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_unknown_class_remains_review_material	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_with_an_undetermined_class_does_not_claim_one	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_form25_with_an_unreadable_document_still_requires_review	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_item_301_alone_is_a_review_signal_not_delisting_proof	batch observation/kind shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_run_incremental_persists_partial_results_without_touching_profile_state	collector result and normalized store shape	must_fail
T1	tests/test_sec_corporate_actions.py::test_scheduler_registers_sec_source_and_preserves_adapter_partial	collector result shape	must_pass
T3	tests/test_agents.py::TestAnthropicToolSchemas::test_tool_count	bridge count 51 to 53	must_fail
T3	tests/test_agents.py::TestAnthropicToolSchemas::test_tool_names	exact bridge names add two lifecycle tools	must_fail
T3	tests/test_agents.py::TestOpenAIToolCreation::test_create_tools_count	bridge count 51 to 53	must_fail
T3	tests/test_agents.py::TestRegistrySchemaExport::test_to_anthropic_schema	registry count 50 to 52	must_fail
T3	tests/test_agents.py::TestRegistrySchemaExport::test_to_openai_schema	registry count 50 to 52	must_fail
T3	tests/test_analyst_tools.py::TestBridgeIntegration::test_analysis_category_count	analysis count 13 to 15	must_fail
T3	tests/test_analyst_tools.py::TestBridgeIntegration::test_registry_total_count	registry count 50 to 52	must_fail
T3	tests/test_api.py::TestHealth::test_status	status tool count 50 to 52	must_fail
T3	tests/test_api.py::test_local_runtime_lifespan_starts_scheduler_and_enumerates_routes	route count 173 to 180	must_fail
T3	tests/test_memory_tools.py::TestMemoryToolRegistry::test_total_tool_count	registry count 50 to 52	must_fail
T3	tests/test_portfolio_tools.py::TestPortfolioToolRegistration::test_tool_registered	registry count 50 to 52	must_fail
T3	tests/test_sa_tools.py::TestBridgeIntegration::test_anthropic_bridge_count	bridge count 51 to 53	must_fail
T3	tests/test_sa_tools.py::TestBridgeIntegration::test_anthropic_schema_count	registry count 50 to 52	must_fail
T3	tests/test_sa_tools.py::TestBridgeIntegration::test_openai_schema_count	registry count 50 to 52	must_fail
T3	tests/test_sa_tools.py::TestBridgeIntegration::test_registry_count	registry count 50 to 52	must_fail
T3	tests/test_sa_tools.py::TestRegistryV3::test_registry_count	registry count 50 to 52	must_fail
T3	tests/test_sec_tools.py::TestBridgeIntegration::test_analysis_category_6	analysis count 13 to 15	must_fail
T3	tests/test_sec_tools.py::TestBridgeIntegration::test_registry_23	registry count 50 to 52	must_fail
T3	tests/test_tools.py::TestRegistry::test_anthropic_schema	registry count 50 to 52	must_fail
T3	tests/test_tools.py::TestRegistry::test_categories	analysis count 13 to 15	must_fail
T3	tests/test_tools.py::TestRegistry::test_openai_schema	registry count 50 to 52	must_fail
T3	tests/test_tools.py::TestRegistry::test_register_all	registry count 50 to 52	must_fail
T3	tests/test_tools.py::TestRegistry::test_tool_names	expected registry names add two lifecycle tools	must_fail
T4	src/SettingsLocalStorage.test.ts::local storage panels > keeps corrected single-locale headings	Settings lifecycle heading becomes the approved health and Universe handoff	must_fail
T4	src/SettingsLocalStorage.test.ts::local storage panels > lists_the_active_data_group_and_its_stable_subsections	active Data group directory names the lifecycle health and Universe handoff	must_fail
T4	src/SettingsLocalStorage.test.ts::local storage panels > renders English market data and storage outcomes	English storage inventory exposes present and source-missing lifecycle health	must_fail
T4	src/SettingsLocalStorage.test.ts::local storage panels > renders only current local storage panels in normal settings navigation	normal Settings navigation replaces the retired company-status review surface	must_fail
T4	src/SettingsWorkspace.test.tsx::Settings workspace > shows_only_the_active_group_directory_while_search_remains_cross_group	Settings lifecycle directory becomes a Universe handoff	must_fail
T4	src/i18n/resources.test.ts::bundled i18n resources > contains the exact Explore subtree inventory in both locales	Lifecycle workflow adds the reviewed Explore subtree	must_fail
T4	src/i18n/resources.test.ts::bundled i18n resources > contains the reviewed remaining-surface namespace inventory in both locales	Lifecycle handoff moves copy from Settings to Explore	must_fail
T4	src/i18n/resources.test.ts::bundled i18n resources > preserves the reviewed pre-Slice-5 Settings-origin inventory across the Common move	Retired Settings lifecycle review keys leave the inventory	must_fail
T4	src/lifecycle/LifecycleView.test.tsx::Lifecycle workflow > requires cited evidence before accepting a conclusive assessment	UI must bind the current provider-observation fingerprint, not create an evidence-only dead-end draft	must_fail
T4	tests/test_security_lifecycle_routes.py::test_case_detail_separates_source_evidence_assessment_acknowledgement_and_proposal	case detail exposes the current observation fingerprint needed for an explicit citation	must_fail
T4	tests/test_security_lifecycle_routes.py::test_case_list_composes_both_stores_in_stable_order_without_read_side_writes	list count reports all filtered cases independently of the bounded returned page	must_fail
T4	tests/test_security_lifecycle_tools.py::test_list_tool_is_local_read_only_and_stably_sorted	local list count reports all filtered cases independently of the bounded returned page	must_fail
